filename,L_Zeh1_x,L_Zeh1_y,L_Zeh2_x,L_Zeh2_y,L_Zeh3_x,L_Zeh3_y,L_Zeh4_x,L_Zeh4_y,L_Zeh5_x,L_Zeh5_y,R_Zeh1_x,R_Zeh1_y,R_Zeh2_x,R_Zeh2_y,R_Zeh3_x,R_Zeh3_y,R_Zeh4_x,R_Zeh4_y,R_Zeh5_x,R_Zeh5_y
train_img_1773570886.jpeg,104,226,147,186,204,146,263,118,366,86,516,90,594,123,649,149,691,177,747,232
train_img_1773570927.jpeg,114,229,153,174,198,151,262,124,350,89,521,100,602,119,647,144,695,192,739,216
train_img_1773571035.jpeg,129,190,137,228,161,263,204,289,250,301,480,305,532,288,560,275,590,261,616,218
train_img_1773571061.jpeg,165,308,187,347,219,384,241,408,314,393,440,454,494,451,518,417,565,382,586,331
train_img_1773571082.jpeg,110,319,151,346,182,353,226,338,589,383,621,382,651,378,673,370,702,356,705,339
train_img_1773571098.jpeg,93,357,109,379,142,395,172,397,215,393,574,480,630,476,649,472,677,461,702,429
train_img_1773571114.jpeg,144,316,163,364,181,397,233,415,289,445,483,420,551,396,591,366,609,340,628,318
train_img_1773571130.jpeg,178,415,208,459,249,480,269,507,347,496,475,540,526,545,549,509,593,478,612,421
train_img_1773571147.jpeg,21,339,37,383,83,398,118,410,157,389,567,419,625,406,654,397,677,374,682,357
train_img_1773571261.jpeg,116,214,147,165,192,127,266,114,353,83,526,72,601,114,649,141,704,182,739,219
